Line,From Station Id,To Station Id,Distance (Kms),Off Peak Running Time (mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
1,114,140,1.74,22.23,0.5,2.5
1,140,237,1.4,1.88,2,2
1,237,185,0.9,1.5,1.5,1.5
1,185,281,1.27,1.92,2.06,2.06
1,281,246,1.71,2.23,3.13,3.13
1,246,113,1.53,2.13,2.4,2.4
1,113,298,1.05,1.65,2.23,2.23
1,298,137,1.5,2.47,2.5,2.5
1,137,206,1.32,2.65,4.72,4.72
1,206,143,0.79,1.42,1.5,1.5
1,143,159,0.88,1.48,2,2
1,159,278,0.79,1.5,1.5,1.5
1,278,193,0.88,1.58,2,2
1,193,82,0.72,1.57,1.5,1.5
1,82,163,0.45,1.12,1.5,1.5
1,163,11,0.5,1.17,1.5,1.5
1,11,212,0.88,1.68,2,2
1,212,192,0.87,1.85,2,2
1,192,197,0.97,1.95,2.48,2.48
1,197,49,0.55,1.35,1.5,1.5
1,49,87,0.37,0.95,1.5,1.5
1,87,279,0.71,1.43,1.5,1.5
1,279,148,0.63,1.45,2,2
1,148,84,0.82,2.57,2.5,2.5
1,84,148,0.82,2.13,2,2
1,148,279,0.63,1.45,2.06,2.06
1,279,87,0.71,1.22,1.5,1.5
1,87,49,0.37,0.97,1,1
1,49,197,0.55,1.6,2,2
1,197,192,0.97,2.02,2.19,2.19
1,192,212,0.87,1.72,2,2
1,212,11,0.88,1.65,2,2
1,11,163,0.5,1.08,1.5,1.5
1,163,82,0.45,1.08,1,1
1,82,193,0.72,1.62,2,2
1,193,278,0.88,1.63,2,2
1,278,159,0.79,1.5,1.5,1.5
1,159,143,0.88,1.48,1.5,1.5
1,143,206,0.79,2.1,2.89,2.89
1,206,137,1.32,2.83,2.72,2.72
1,137,298,1.5,2.53,3.15,3.15
1,298,113,1.05,1.63,2,2
1,113,246,1.53,2.02,2.53,2.53
1,246,281,1.71,2.42,3.17,3.17
1,281,185,1.27,1.95,2,2
1,185,237,0.9,1.58,1.5,1.5
1,237,140,1.4,2,2,2
1,140,114,1.74,2.38,3,3
2,294,221,2.04,2.28,2.57,2.5
2,221,239,0.86,1.3,1.5,1.5
2,239,177,2.28,2.23,2.58,2.5
2,177,105,1.78,1.93,2,2
2,105,196,1.69,1.85,2.33,2.25
2,196,112,2.1,2.1,2.25,2.26
2,112,181,2.49,2.85,3.44,3.48
2,72,286,1.53,2.28,2.25,2.25
2,286,181,1.77,2.3,2.86,3.26
2,181,76,1.11,1.5,1.75,1.75
2,76,296,2.06,2.57,3.28,3.71
2,296,226,1.16,2.68,2.75,2.75
2,226,127,0.87,1.37,1.75,1.75
2,127,186,0.61,1.08,1.5,1.5
2,186,208,0.69,1.17,1.5,1.5
2,208,149,0.9,1.35,1.5,1.5
2,149,162,1.2,1.92,2.71,2.5
2,162,28,0.55,1,1.25,1.25
2,28,192,0.66,1.1,1.5,1.5
2,192,259,0.58,0.98,1.5,1.5
2,259,126,0.88,1.63,2.21,2.01
2,126,48,0.4,0.87,1,1
2,48,250,1.03,1.52,2,2
2,250,13,0.74,1.62,2,2
2,13,156,0.74,1.62,2.25,2.25
2,156,24,2.27,2.6,2.75,2.75
2,24,164,1.64,1.98,2.25,2.25
2,164,247,2.83,3.18,3.42,3.25
2,247,153,2.09,2.4,2.75,2.75
2,153,154,1.62,2.02,2.81,2.76
2,154,275,1.72,2.15,2.25,2.25
2,275,211,1.22,1.62,2,2
2,211,98,1.27,1.65,1.75,1.75
2,98,173,2.36,2.68,3.06,2.98
2,173,16,1.11,1.55,1.75,1.75
2,16,91,1.22,1.57,1.84,1.79
2,91,109,0.75,2.93,3.89,4.12
2,154,230,1.57,1.8,2.25,2.25
2,230,241,1.29,1.62,1.75,1.75
2,241,301,1.8,1.9,2.34,2.26
2,215,301,1.33,2.03,2.78,2.22
2,51,215,2.28,2.45,2.77,2.5
2,103,51,1.32,1.63,2,2
2,109,103,1.12,1.73,1.89,1.79
2,301,37,2.31,2.28,2.5,2.5
2,37,158,1.83,2.35,2.7,2.53
2,158,68,2.02,2.13,2.22,2.25
2,68,256,3.34,3,3,3
2,256,88,2.54,2.6,2.76,2.75
2,88,256,2.54,2.37,2.5,2.5
2,256,68,3.34,2.88,3.43,3.25
2,68,158,2.02,2.67,2.97,3.4
2,158,37,1.83,2.07,2.53,2.5
2,37,301,2.31,2.32,2.53,2.53
2,103,109,1.12,1.7,5.28,4.32
2,51,103,1.32,1.73,2.61,2.11
2,215,51,2.28,2.13,2.25,2.25
2,301,215,1.33,2.18,2.53,2.5
2,301,241,1.8,1.95,2.25,2.25
2,241,230,1.29,1.6,1.75,1.75
2,230,154,1.57,2.05,3.46,3.33
2,109,91,0.75,1.82,2,2
2,91,16,1.22,1.57,1.75,1.75
2,16,173,1.11,1.58,2.25,2.35
2,173,98,2.36,2.73,3,3
2,98,211,1.27,1.7,2,2
2,211,275,1.22,1.58,1.75,1.75
2,275,154,1.72,2.17,3.05,3.64
2,154,153,1.62,2.02,2.25,2.25
2,153,247,2.09,2.43,2.96,2.75
2,247,164,2.83,3.03,3,3
2,164,24,1.64,1.97,2.47,2.25
2,24,156,2.27,2.77,3.48,3.25
2,156,13,0.74,1.65,2,2
2,13,250,0.74,1.63,2,2
2,250,48,1.03,1.52,1.75,1.75
2,48,126,0.4,0.85,1.46,1.25
2,126,259,0.88,1.38,1.75,1.75
2,259,192,0.58,1.02,1.5,1.5
2,192,28,0.66,1.03,1.25,1.25
2,28,162,0.55,1.02,1.66,1.5
2,162,149,1.2,1.62,2,2
2,149,208,0.9,1.65,1.75,1.75
2,208,186,0.69,1.18,1.5,1.5
2,186,127,0.61,1.18,1.5,1.5
2,127,226,0.87,1.52,1.75,1.75
2,226,296,1.16,2.77,3.74,3.97
2,296,76,2.06,2.67,3,3
2,76,181,1.11,1.57,2.12,2.54
2,181,286,1.77,2.52,2.85,2.76
2,286,72,1.53,3.07,2.76,2.82
2,181,112,2.49,2.87,3.15,3
2,112,196,2.1,2.07,2.28,2.25
2,196,105,1.69,2,2.27,2.25
2,105,177,1.78,2.15,2.37,2.28
2,177,239,2.28,2.25,2.52,2.5
2,239,221,0.86,1.37,2.09,1.54
2,221,294,2.04,2.68,2.86,2.75
11,274,26,1.45,2.12,2,2
11,26,260,1.37,1.9,2.36,2
11,260,224,1.05,2,2.77,3.28
11,224,95,3.15,3.77,4,4
11,95,123,1.93,2.9,2.89,2.55
11,123,145,2.45,2.77,3.5,3.5
11,145,89,0.74,1.32,1.92,1.5
11,89,277,0.76,1.3,1.5,1.5
11,277,192,0.9,1.72,2.44,2
11,192,107,1.14,1.78,2,2.04
11,107,273,1.09,1.88,2.5,2.54
11,273,198,1.19,1.83,2,2
11,198,272,0.8,1.4,1.5,1.54
11,272,245,1.77,2.3,2.94,2.52
11,245,35,1.46,2.03,2.5,2.5
11,35,245,1.46,2.18,2.45,2
11,245,272,1.77,2.23,2.5,2.5
11,272,198,0.8,1.37,1.5,1.5
11,198,273,1.19,2.18,2.97,2.51
11,273,107,1.09,1.95,2,2
11,107,192,1.14,1.97,2.47,2.02
11,192,277,0.9,1.53,2.48,2.04
11,277,89,0.76,1.32,1.5,1.5
11,89,145,0.74,1.35,2,2
11,145,123,2.45,2.87,3,3
11,123,95,1.93,2.4,2.97,2.56
11,95,224,3.15,4.25,5.34,5.76
11,224,260,1.05,1.6,1.5,1.5
11,260,26,1.37,1.97,2.5,2.5
11,26,274,1.45,2.12,2.04,2.01
12,279,13,2.37,4.87,4,4
12,13,279,2.37,4.2,3.75,3.75
7,243,45,1.27,1.95,2,2
7,45,207,1.71,1.93,2.5,2.5
7,207,144,1.33,1.72,2,2
7,144,282,2.85,3.47,4.73,4.56
7,282,172,2.28,2.6,3.03,3.01
7,172,71,0.85,1.43,1.5,1.5
7,71,297,1.21,1.8,2.11,2.14
7,297,142,1.19,1.68,2,2
7,142,290,1.09,1.63,2.5,2
7,290,94,0.61,1.25,1.5,1.5
7,94,254,0.61,1.18,1.5,1.5
7,254,249,0.92,1.52,2,2
7,249,11,2.06,2.77,3.5,3.5
7,11,28,1.66,2.1,2.5,2.5
7,28,107,1.37,1.78,2.5,2.5
7,107,285,1.34,1.87,2.5,2.5
7,285,279,0.96,1.38,2,2
7,279,233,0.44,1.02,1,1
7,233,157,1.26,1.65,2.5,2.5
7,157,23,1.93,2.25,2.5,2.5
7,23,41,1.06,1.48,2,2
7,41,42,2.41,2.5,3,3.02
